Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Airport_Name,Injury_Severity,Aircraft_damage,Aircraft_Category,Registration_Number,Amateur_Built,Number_of_Engines,Purpose_of_flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Report.Status,Publication_Date
20020917X01658,Accident,ATL82DA028,1/5/1982,"GASTONIA, NC",United States,,Non-Fatal,Substantial,Airplane,N2139T,No,1,Ferry,0,0,0,1,VMC,Probable Cause,5/1/1983
20020917X02156,Accident,LAX82DA037,1/5/1982,"SPRINGERVILLE, AZ",United States,SPRINGERVILLE,Non-Fatal,Substantial,Airplane,N738XP,No,1,Unknown,0,0,0,1,VMC,Probable Cause,5/1/1983
20020917X01651,Accident,ANC82FA012,1/5/1982,"BETHEL, AK",United States,BETHEL,Non-Fatal,Substantial,Airplane,N3343S,No,1,Unknown,0,2,0,0,VMC,Probable Cause,5/1/1983
20020917X02423,Accident,MKC82DA016,1/6/1982,"ROLLA, MO",United States,DOWNTOWN,Non-Fatal,Substantial,Airplane,N2672A,Yes,2,Executive/corporate,0,0,0,3,VMC,Probable Cause,6/1/1983
20020917X02157,Accident,LAX82DA039,1/6/1982,"MAMMOTH LAKES, CA",United States,MAMMOTH LAKES,Non-Fatal,Substantial,Helicopter,N608RA,No,1,Business,0,0,0,6,VMC,Probable Cause,6/1/1983
20020917X01913,Accident,DEN82DA015,1/6/1982,"JACKSON, WY",United States,JACKSON HOLE,Non-Fatal,Substantial,Airplane,N8070Q,No,1,Personal,0,0,0,3,VMC,Probable Cause,6/1/1983
20020917X01777,Accident,CHI82DA021,1/6/1982,"PAXTON, IL",United States,PAXTON MUNICIPAL,Non-Fatal,Substantial,Airplane,N4900L,No,1,Instructional,0,0,0,2,VMC,Probable Cause,6/1/1983
20020917X01757,Accident,ATL82FLG08,1/6/1982,"HILTON HEAD, SC",United States,,Non-Fatal,Substantial,Airplane,N201NH,No,1,Business,0,0,0,2,VMC,Probable Cause,6/1/1983
20020917X02242,Accident,LAX82DVA10,1/6/1982,"NEAR BAKERSFIEL, CA",United States,,Non-Fatal,Substantial,Airplane,N59737,No,1,Unknown,0,1,0,1,IMC,Probable Cause,6/1/1983
20020917X01964,Accident,DEN82FA016,1/7/1982,"HELENA, MT",United States,,Fatal(2),Destroyed,Airplane,N9763X,No,1,Unknown,2,0,0,0,VMC,Probable Cause,7/1/1983
20020917X01659,Accident,ATL82DA031,1/7/1982,"WESTMINISTER, MD",United States,CLEARVIEW,Non-Fatal,Substantial,Airplane,N117P,No,1,Personal,0,0,0,1,VMC,Probable Cause,7/1/1983
20020917X02141,Accident,FTW82FRG20,1/7/1982,"LAREDO, TX",United States,LAREDO INTL,Non-Fatal,Substantial,Airplane,N1698M,No,2,Unknown,0,0,0,3,VMC,Probable Cause,7/1/1983
20020917X02414,Accident,MIA82FLD14,1/8/1982,"ODESSA, FL",United States,W. PASCO,Fatal(1),Destroyed,Airplane,N80264,No,1,Personal,1,0,0,0,IMC,Probable Cause,8/1/1983
20020917X01881,Accident,CHI82FA024,1/8/1982,"NEW PHILADELPHI, OH",United States,HARRY CLEVER FIELD,Fatal(1),Destroyed,Airplane,N207CB,No,1,Personal,1,1,0,0,VMC,Probable Cause,8/1/1983
20020917X02574,Accident,SEA82DA016,1/8/1982,"PULLMAN, WA",United States,PULLMAN-MOSCOW REGIONAL,Non-Fatal,Substantial,Airplane,N6106U,No,1,Business,0,0,0,1,VMC,Probable Cause,8/1/1983
20020917X02484,Accident,NYC82DA019,1/8/1982,"CUTCHOGUE, NY",United States,,Non-Fatal,Substantial,Airplane,N46681,No,1,Instructional,0,0,0,1,VMC,Probable Cause,8/1/1983
20020917X02431,Accident,MKC82DA026,1/8/1982,"LIBERTY, MO",United States,MITHELL,Non-Fatal,Substantial,Airplane,N7618P,No,1,Instructional,0,0,0,2,VMC,Probable Cause,8/1/1983
20020917X01779,Accident,CHI82DA023,1/8/1982,"PEORIA, IL",United States,MOUNT HAWLEY,Non-Fatal,Substantial,Airplane,N6265P,No,1,Instructional,0,0,0,1,VMC,Probable Cause,8/1/1983
20020917X01778,Accident,CHI82DA022,1/8/1982,"SANDUSKY, OH",United States,GRIFFING-SANDUSKY,Non-Fatal,Substantial,Airplane,N737LH,No,1,Personal,0,0,0,2,VMC,Probable Cause,8/1/1983
20020917X01717,Accident,ATL82DLG09,1/8/1982,"GRANTITEVILLE, SC",United States,TWIN LAKES,Non-Fatal,Substantial,Airplane,N25225,No,1,Instructional,0,0,0,1,VMC,Probable Cause,8/1/1983
20020917X02247,Accident,LAX82DVG13,1/9/1982,"CALISTOGA, CA",United States,CALISTOGA,Non-Fatal,Substantial,Glider,N10UP,No,0,Personal,0,0,0,1,VMC,Probable Cause,9/1/1983
20020917X02246,Accident,LAX82DVG12,1/9/1982,"NAPA, CA",United States,NAPA,Non-Fatal,Substantial,Airplane,N731NZ,No,1,Personal,0,1,0,3,VMC,Probable Cause,9/1/1983
20020917X01995,Accident,FTW82DA039,1/9/1982,"FRUIT VALE, TX",United States,PRIVATE STRIP,Non-Fatal,Substantial,Airplane,N7355A,No,1,Personal,0,0,0,2,VMC,Probable Cause,9/1/1983
20020917X01994,Accident,FTW82DA038,1/9/1982,"TOMBALL, TX",United States,DAVID WAYNE HOOKS,Non-Fatal,Substantial,Airplane,N55489,No,2,Personal,0,0,0,3,VMC,Probable Cause,9/1/1983
20020917X02283,Accident,LAX82FJA03,1/9/1982,"MOKULEIA, HI",United States,DILLINGHAM,Non-Fatal,Substantial,Airplane,N5639V,No,1,Unknown,0,0,0,2,VMC,Probable Cause,9/1/1983
20020917X01981,Accident,DEN82FTE15,1/9/1982,"STEAMBOAT SPRIN, CO",United States,ROUTT CITY,Non-Fatal,Substantial,Airplane,N2195G,No,1,Unknown,0,0,0,1,VMC,Probable Cause,9/1/1983
20020917X02341,Accident,MIA82DA032,1/10/1982,"OKEECHOBEE, FL",United States,LOWERY DAVIS,Non-Fatal,Destroyed,Airplane,N567V,No,2,Unknown,0,2,0,0,UNK,Probable Cause,10/1/1983
20020917X02158,Accident,LAX82DA041,1/10/1982,"BULLHEAD CITY, AZ",United States,BULLHEAD CITY,Non-Fatal,Destroyed,Airplane,N2753J,No,1,Personal,0,0,0,4,VMC,Probable Cause,10/1/1983
20020917X01882,Accident,CHI82FA025,1/10/1982,"WHEELING, IL",United States,PALWAUKEE,Non-Fatal,Destroyed,Airplane,N6995Y,No,2,Personal,0,0,0,2,IMC,Probable Cause,10/1/1983
20020917X01719,Accident,ATL82FA032,1/10/1982,"HENDERSON, NC",United States,,Fatal(1),Destroyed,Airplane,N3688N,No,1,Personal,1,1,0,0,VMC,Probable Cause,10/1/1983
20020917X02305,Accident,LAX82FUQ07,1/10/1982,"MOJAVE, CA",United States,,Non-Fatal,Substantial,Airplane,N2644Q,No,1,Personal,0,0,4,0,VMC,Probable Cause,10/1/1983
20020917X02289,Accident,LAX82FUG05,1/10/1982,"UPLAND, CA",United States,,Non-Fatal,Substantial,Airplane,N234Q,Yes,1,Personal,0,0,0,1,VMC,Probable Cause,10/1/1983
20020917X01623,Accident,ANC82DA013,1/10/1982,"QUINHAGAK, AK",United States,,Non-Fatal,Substantial,Airplane,N756YN,No,1,Unknown,0,0,3,0,VMC,Probable Cause,10/1/1983
20020917X01985,Accident,DEN82FTI10,1/11/1982,"NEAR BOZEMAN, MT",United States,,Non-Fatal,Destroyed,Airplane,N7273J,No,1,Personal,0,1,1,0,VMC,Probable Cause,11/1/1983
20020917X01965,Accident,DEN82FA017,1/11/1982,"RIVERTON, WY",United States,RIVERTON REGIONAL,Fatal(4),Destroyed,Airplane,N6558A,No,1,Personal,4,1,1,0,IMC,Probable Cause,11/1/1983
20020917X01982,Accident,DEN82FTE16,1/11/1982,"SAQUACHE, CO",United States,COCHETOPA,Non-Fatal,Substantial,Airplane,N2332C,No,1,Personal,0,0,0,1,VMC,Probable Cause,11/1/1983
20020917X01715,Accident,ATL82DKJ09,1/11/1982,"AUBURN, AL",United States,AUBURN/OPELIKA,Non-Fatal,Substantial,Airplane,N424VW,No,2,Personal,0,0,0,1,VMC,Probable Cause,11/1/1983
20020917X01897,Incident,CHI82IA026,1/12/1982,"CHICAGO, IL",United States,CHICAGO O'HARE INTER'L,Incident,,Airplane,N31031,No,3,Unknown,0,0,0,149,UNK,Probable Cause,12/1/1983
20020917X01765,Incident,ATL82IA034,1/12/1982,"CLARKSBURG, WV",United States,BENEDUM,Incident,Minor,Airplane,N615KC,No,2,Unknown,0,0,0,2,VMC,Probable Cause,12/1/1983
20020917X01750,Accident,ATL82FKQ09,1/12/1982,"ABERDEEN, MS",United States,,Non-Fatal,Destroyed,Airplane,N7706,No,2,Personal,0,0,3,0,UNK,Probable Cause,12/1/1983
20020917X02111,Accident,FTW82FPA10,1/12/1982,"ADDISON, TX",United States,ADDISON,Non-Fatal,Substantial,Airplane,N8678M,No,1,Personal,0,1,0,1,IMC,Probable Cause,12/1/1983
20020917X02342,Accident,MIA82DA033,1/13/1982,"MONTICELLO, FL",United States,,Non-Fatal,Destroyed,Airplane,N28607,No,1,Personal,0,0,0,1,VMC,Probable Cause,13-01-1983
20020917X01907,Accident,DCA82AA011,1/13/1982,"WASHINGTON, DC",United States,WASHINGTON NATIONAL,Fatal(78),Destroyed,,N62AF,No,2,Unknown,78,6,3,0,IMC,Probable Cause,13-01-1983
20020917X02120,Accident,FTW82FPJ11,1/13/1982,"WATONGA, OK",United States,,Non-Fatal,Substantial,Airplane,N47442,No,1,Personal,0,0,0,3,VMC,Probable Cause,13-01-1983
20020917X01996,Accident,FTW82DA040,1/13/1982,"HOBBS, NM",United States,LEA COUNTY HOBBS,Non-Fatal,Substantial,Airplane,N2396W,No,1,Personal,0,0,0,4,VMC,Probable Cause,13-01-1983
20020917X02575,Accident,SEA82DA017,1/13/1982,"SPOKANE, WA",United States,GEIGER FIELD,Non-Fatal,Substantial,Airplane,N36PB,No,2,Unknown,0,0,0,2,IMC,Probable Cause,13-01-1983
20020917X01966,Accident,DEN82FA018,1/15/1982,"28 MI ENE OGDEN, UT",United States,,Fatal(3),Destroyed,Airplane,N6520Y,No,1,Personal,3,0,0,0,VMC,Probable Cause,15-01-1983
20020917X02486,Accident,NYC82DA022,1/15/1982,"BUTLER, PA",United States,BUTLER ROE,Non-Fatal,Substantial,,N4875B,No,2,Personal,,,,2,VMC,Probable Cause,15-01-1983
20020917X02395,Accident,MIA82DKJ03,1/15/1982,"MALONE, FL",United States,TAYLOR FARMS,Non-Fatal,Substantial,Airplane,N5559T,No,1,Personal,0,0,0,2,VMC,Probable Cause,15-01-1983
20020917X02577,Accident,SEA82DA019,1/15/1982,"S.E. OF MALTA, ID",United States,,Non-Fatal,Substantial,Helicopter,N58203,No,1,Unknown,0,0,0,1,VMC,Probable Cause,15-01-1983
20020917X02576,Accident,SEA82DA018,1/15/1982,"SPOKANE, WA",United States,FELTS,Non-Fatal,Substantial,Airplane,N72901,No,1,Unknown,0,0,0,1,VMC,Probable Cause,15-01-1983
20020917X02538,Accident,NYC82FA021,1/15/1982,"JAMAICA, NY",United States,JOHN F. KENNEDY INT'L,Non-Fatal,Substantial,Airplane,N341PL,No,2,Unknown,0,1,2,12,VMC,Probable Cause,15-01-1983
20020917X01780,Accident,CHI82DA027,1/15/1982,"ANOKA, MN",United States,ANOKA COUNTY,Non-Fatal,Substantial,Airplane,N300JR,No,2,Unknown,0,0,0,2,VMC,Probable Cause,15-01-1983
20020917X01625,Accident,ANC82DA015,1/15/1982,"NEAR NUIQSUT, AK",United States,,Non-Fatal,Substantial,Airplane,N1459T,No,1,Unknown,0,0,0,4,VMC,Probable Cause,15-01-1983
20020917X02096,Accident,FTW82FA041,1/16/1982,"HOUMA, LA",United States,,Fatal(1),Destroyed,Helicopter,N1081H,No,1,Unknown,1,2,0,0,IMC,Probable Cause,16-01-1983
20020917X02487,Accident,NYC82DA023,1/16/1982,"SWANTON, VT",United States,FRANKLIN COUNTY,Non-Fatal,Substantial,Airplane,N704KE,No,1,Personal,0,0,0,1,VMC,Probable Cause,16-01-1983
20020917X02321,Accident,LAX82FVG14,1/17/1982,"DAVIS, CA",United States,UNIVERSITY,Fatal(1),Destroyed,Airplane,N63182,No,1,Personal,1,0,0,0,IMC,Probable Cause,17-01-1983
20020917X02306,Accident,LAX82FUQ08,1/17/1982,"MOJAVE, CA",United States,MOJANE,Fatal(1),Destroyed,Airplane,N381JH,Yes,1,Personal,1,0,0,0,VMC,Probable Cause,17-01-1983
20020917X02294,Accident,LAX82FUJ24,1/17/1982,"SUNFLOWER, AZ",United States,,Non-Fatal,Destroyed,Airplane,N7383S,No,1,Unknown,0,0,1,0,VMC,Probable Cause,17-01-1983
20020917X02159,Accident,LAX82DA042,1/17/1982,"HONOLULU, HI",United States,HONOLULU INTL,Non-Fatal,Destroyed,Airplane,N21DR,No,2,Unknown,0,0,2,1,VMC,Probable Cause,17-01-1983
20020917X02142,Accident,FTW82FRG21,1/17/1982,"PORT MANSFIELD, TX",United States,PORT MANSFIELD,Fatal(1),Destroyed,Airplane,N9181Y,No,2,Unknown,1,0,0,0,VMC,Probable Cause,17-01-1983
20020917X01967,Accident,DEN82FA020,1/17/1982,"DELTA, UT",United States,,Non-Fatal,Destroyed,Airplane,N91TW,No,2,Personal,0,0,3,0,VMC,Probable Cause,17-01-1983
20020917X01721,Accident,ATL82FA035,1/17/1982,"PICAYUNE, MS",United States,PICAYUNE-PEARL RIVER CNTY,Fatal(2),Destroyed,Airplane,N654T,No,2,Unknown,2,0,0,0,VMC,Probable Cause,17-01-1983
20020917X01624,Accident,ANC82DA014,1/17/1982,"ANCHORAGE, AK",United States,MERRILL FIELD,Non-Fatal,Destroyed,Airplane,N63516,No,1,Instructional,0,0,1,1,VMC,Probable Cause,17-01-1983
20020917X01914,Accident,DEN82DA019,1/17/1982,"CEDAR CITY, UT",United States,SWAINS CREEK,Non-Fatal,Substantial,Airplane,N2600Y,No,1,Personal,0,0,0,1,VMC,Probable Cause,17-01-1983
20020917X01645,Accident,ANC82DAG15,1/17/1982,"TULUKSAK, AK",United States,,Non-Fatal,Substantial,Airplane,N3574D,No,1,Personal,0,0,0,2,VMC,Probable Cause,17-01-1983
20020917X01660,Accident,ATL82DA036,1/17/1982,"CENTERVILLE, AL",United States,,Non-Fatal,Substantial,Helicopter,N203AL,No,1,Unknown,0,0,0,2,VMC,Probable Cause,17-01-1983
20020917X02624,Accident,SEA82FYM08,1/18/1982,"ORCHARDS, WA",United States,CLARK COUNTY,Non-Fatal,Destroyed,Airplane,N2127W,No,1,Business,0,2,2,0,VMC,Probable Cause,18-01-1983
20020917X02257,Accident,LAX82FA047,1/18/1982,"DOWNIEVILLE, CA",United States,,Fatal(1),Destroyed,Airplane,N5295R,No,1,Personal,1,0,0,0,IMC,Probable Cause,18-01-1983
20020917X01723,Accident,ATL82FA039,1/18/1982,"BLAIRSVILLE, GA",United States,,Fatal(3),Destroyed,Airplane,N4583J,No,1,Personal,3,0,0,0,IMC,Probable Cause,18-01-1983
20020917X01999,Accident,FTW82DA045,1/18/1982,"S.E. OF HOUMA, LA",United States,,Non-Fatal,Substantial,Airplane,N2705K,No,1,Business,0,0,0,1,VMC,Probable Cause,18-01-1983
20020917X01722,Accident,ATL82FA037,1/18/1982,"MADISON COUNTY, AL",United States,HUNTSVILLE-MADISON COUNTY,Fatal(4),Substantial,Airplane,N641CH,No,1,Personal,4,0,0,0,IMC,Probable Cause,18-01-1983
20020917X02476,Accident,MKC82FCQ08,1/19/1982,"CEDAR VALE, KS",United States,MILLS RANCH,Fatal(1),Destroyed,Airplane,N7761M,No,1,Business,1,0,0,0,VMC,Probable Cause,19-01-1983
20020917X02121,Accident,FTW82FPJ12,1/19/1982,"STILLWATER, OK",United States,STILLWATER MUNICIPAL,Fatal(2),Destroyed,Airplane,N4438D,No,1,Personal,2,0,0,0,IMC,Probable Cause,19-01-1983
20020917X01978,Accident,DEN82FTA09,1/19/1982,"WOLF PT., MT",United States,,Fatal(1),Destroyed,Airplane,N35147,No,1,Business,1,2,0,0,UNK,Probable Cause,19-01-1983
20020917X01908,Accident,DCA82AA012B,1/19/1982,"ROCKPORT, TX",United States,ARANSAS COUNTY AIRPORT,Fatal(3),Destroyed,Airplane,N26660,No,1,Personal,3,0,0,0,IMC,Probable Cause,19-01-1983
